4.0;;Предпринимательство
;4.1;Деловое управление
;4.2;Объекты торговли (торговые центры, торгово-развлекательные центры (комплексы)
;4.3;Рынки
;4.4;Магазины
;4.5;Банковская и страховая деятельность
;4.6;Общественное питание
;4.7;Гостиничное обслуживание
;4.8;Развлечение
;4.9;Служебные гаражи
;4.10;Выставочно-ярмарочная деятельность
3.0;;Общественное использование объектов капитального строительства
;3.1;Коммунальное обслуживание
;3.2;Социальное обслуживание
;3.3;Бытовое обслуживание
;3.4;Здравоохранение
;3.5;Образование и просвещение
;3.6;Культурное развитие
;3.7;Религиозное использование
;3.8;Общественное управление
;3.9;Обеспечение научной деятельности
;3.10;Ветеринарное обслуживание
6.0;;Производственная деятельность
;6.1;Разведка и добыча полезных ископаемых
;6.2;Тяжелая промышленность
;6.3;Легкая промышленность
;6.4;Пищевая промышленность
;6.5;Нефтехимическая промышленность
;6.6;Строительная промышленность
;6.7;Энергетика
;6.8;Связь
;6.9;Склад
;6.10;Обеспечение космической деятельности
;6.11;Целлюлозно-бумажная промышленность
;6.12;Научно-производственная деятельность
5.0;;Отдых (рекреация)
;5.1;Спорт
;5.2;Природно-познавательный туризм
;5.3;Деятельность в сфере охотничьего хозяйства
;5.4;Причалы для маломерных судов
;5.5;Поля для гольфа или конных прогулок
14.0;;Земельные участки, входящие в состав общего имущества собственников индивидуальных жилых домов в малоэтажном жилом комплексе
2.0;;Жилая застройка
;2.1;Для индивидуального жилищного строительства
;2.2;Для ведения личного подсобного хозяйства (приусадебный земельный участок)
;2.3;Блокированная жилая застройка
;2.4;Передвижное жилье
;2.5;Среднеэтажная жилая застройка
;2.6;Многоэтажная жилая застройка (высотная застройка)
;2.7;Обслуживание жилой застройки
1.0;;Сельскохозяйственное использование
;1.1;Растениеводство
;1.7;Животноводство
;1.12;Пчеловодство
;1.13;Рыбоводство
;1.14;Научное обеспечение сельского хозяйства
;1.15;Хранение и переработка сельскохозяйственной продукции
;1.16;Ведение личного подсобного хозяйства на полевых участках
;1.17;Питомники
;1.18;Обеспечение сельскохозяйственного производства
;1.19;Сенокошение
;1.20;Выпас сельскохозяйственных животных
13.0;;Земельные участки общего назначения
;13.1;Ведение огородничества
;13.2;Ведение садоводства
12.0;;Земельные участки (территории) общего пользования
;12.0.1;Улично-дорожная сеть
;12.0.2;Благоустройство территории
;12.1;Ритуальная деятельность
;12.2;Специальная деятельность
;12.3;Запас
10.0;;Использование лесов
;10.1;Заготовка древесины
;10.2;Заготовка живицы
;10.3;Заготовка и сбор недревесных лесных ресурсов
;10.4;Заготовка пищевых лесных ресурсов и сбор лекарственных растений
;10.5;Выращивание лесных плодовых, ягодных, декоративных растений, лекарственных растений
;10.6;Создание лесных плантаций и их эксплуатация
;10.7;Создание лесных питомников и их эксплуатация
;10.8;Создание и эксплуатация объектов лесоперерабатывающей инфраструктуры
;10.9;Осуществление научно-исследовательской деятельности, образовательной деятельности в лесах
;10.10;Осуществление рекреационной деятельности в лесах
8.0;;Обеспечение обороны и безопасности
;8.1;Обеспечение вооруженных сил
;8.2;Охрана Государственной границы Российской Федерации
;8.3;Обеспечение внутреннего правопорядка
;8.4;Обеспечение деятельности по исполнению наказаний
7.0;;Транспорт
;7.1;Железнодорожный транспорт
;7.2;Автомобильный транспорт
;7.3;Водный транспорт
;7.4;Воздушный транспорт
;7.5;Трубопроводный транспорт
;7.6;Внеуличный транспорт
11.0;;Водные объекты
;11.1;Общее пользование водными объектами
;11.2;Специальное пользование водными объектами
;11.3;Гидротехнические сооружения
9.0;;Деятельность по особой охране и изучению природы
;9.1;Охрана природных территорий
;9.2;Курортная деятельность
;9.3;Историко-культурная деятельность
